season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2017,MLB,AL-East,BOS,TOR,BOS,13,6,0,19
2017,MLB,AL-East,NYA,TBA,NYA,12,7,0,19
2017,MLB,AL-East,NYA,TOR,TOR,9,10,0,19
2017,MLB,AL-East,TBA,TOR,TOR,9,10,0,19
2017,MLB,AL-West,ANA,HOU,HOU,7,12,0,19
2017,MLB,AL-West,ANA,OAK,ANA,12,7,0,19
2017,MLB,AL-West,ANA,SEA,ANA,12,7,0,19
2017,MLB,AL-West,ANA,TEX,TEX,8,11,0,19
2017,MLB,AL-West,HOU,OAK,HOU,12,7,0,19
2017,MLB,AL-West,HOU,SEA,HOU,14,5,0,19
2017,MLB,AL-West,HOU,TEX,HOU,12,7,0,19
2017,MLB,AL-West,OAK,SEA,SEA,7,12,0,19
2017,MLB,AL-West,OAK,TEX,OAK,11,8,0,19
2017,MLB,AL-West,SEA,TEX,SEA,11,8,0,19
2017,MLB,NL-Central,CHN,CIN,CHN,12,7,0,19
2017,MLB,NL-Central,CHN,MIL,CHN,10,9,0,19
2017,MLB,NL-Central,CHN,PIT,CHN,10,9,0,19
2017,MLB,NL-Central,CHN,SLN,CHN,14,5,0,19
2017,MLB,NL-Central,CIN,MIL,MIL,8,11,0,19
2017,MLB,NL-Central,CIN,PIT,CIN,13,6,0,19
2017,MLB,NL-Central,CIN,SLN,SLN,9,10,0,19
2017,MLB,NL-Central,MIL,PIT,PIT,9,10,0,19
2017,MLB,NL-Central,MIL,SLN,MIL,11,8,0,19
2017,MLB,NL-Central,PIT,SLN,SLN,8,11,0,19
2017,MLB,NL-East,ATL,MIA,ATL,11,8,0,19
2017,MLB,NL-East,ATL,NYN,NYN,7,12,0,19
2017,MLB,NL-East,ATL,PHI,PHI,6,13,0,19
2017,MLB,NL-East,ATL,WAS,WAS,9,10,0,19
2017,MLB,NL-East,MIA,NYN,MIA,12,7,0,19
2017,MLB,NL-East,MIA,PHI,PHI,8,11,0,19
2017,MLB,NL-East,MIA,WAS,WAS,6,13,0,19
2017,MLB,NL-East,NYN,PHI,NYN,12,7,0,19
2017,MLB,NL-East,NYN,WAS,WAS,6,13,0,19
2017,MLB,NL-East,PHI,WAS,WAS,8,11,0,19
2017,MLB,NL-West,ARI,COL,ARI,11,8,0,19
2017,MLB,NL-West,ARI,LAN,ARI,11,8,0,19
2017,MLB,NL-West,ARI,SDN,ARI,11,8,0,19
2017,MLB,NL-West,ARI,SFN,ARI,12,7,0,19
2017,MLB,NL-West,COL,LAN,COL,10,9,0,19
2017,MLB,NL-West,COL,SDN,COL,12,7,0,19
2017,MLB,NL-West,COL,SFN,COL,12,7,0,19
2017,MLB,NL-West,LAN,SDN,LAN,13,6,0,19
2017,MLB,NL-West,LAN,SFN,LAN,11,8,0,19
2017,MLB,NL-West,SDN,SFN,SDN,12,7,0,19
2018,MLB,AL-Central,CHA,CLE,CLE,5,14,0,19
2018,MLB,AL-Central,CHA,DET,DET,7,12,0,19
2018,MLB,AL-Central,CHA,KCA,CHA,11,8,0,19
2018,MLB,AL-Central,CHA,MIN,MIN,7,12,0,19
2018,MLB,AL-Central,CLE,DET,CLE,13,6,0,19
2018,MLB,AL-Central,CLE,KCA,CLE,12,7,0,19
2018,MLB,AL-Central,CLE,MIN,CLE,10,9,0,19
2018,MLB,AL-Central,DET,KCA,KCA,8,11,0,19
2018,MLB,AL-Central,DET,MIN,MIN,7,12,0,19
2018,MLB,AL-Central,KCA,MIN,KCA,10,9,0,19
2018,MLB,AL-East,BAL,BOS,BOS,3,16,0,19
2018,MLB,AL-East,BAL,NYA,NYA,7,12,0,19
2018,MLB,AL-East,BAL,TBA,TBA,8,11,0,19
2018,MLB,AL-East,BAL,TOR,TOR,5,14,0,19
2018,MLB,AL-East,BOS,NYA,BOS,10,9,0,19
2018,MLB,AL-East,BOS,TBA,BOS,11,8,0,19
2018,MLB,AL-East,BOS,TOR,BOS,15,4,0,19
2018,MLB,AL-East,NYA,TBA,NYA,10,9,0,19
2018,MLB,AL-East,NYA,TOR,NYA,13,6,0,19
2018,MLB,AL-East,TBA,TOR,TBA,13,6,0,19
2018,MLB,AL-West,ANA,HOU,HOU,6,13,0,19
2018,MLB,AL-West,ANA,OAK,ANA,10,9,0,19
2018,MLB,AL-West,ANA,SEA,SEA,8,11,0,19
2018,MLB,AL-West,ANA,TEX,ANA,13,6,0,19
2018,MLB,AL-West,HOU,OAK,HOU,12,7,0,19
2018,MLB,AL-West,HOU,SEA,SEA,9,10,0,19
2018,MLB,AL-West,HOU,TEX,HOU,12,7,0,19
