season,league,division,team
2013,MLB,NL-East,PHI
2013,MLB,NL-East,WAS
2013,MLB,NL-West,ARI
2013,MLB,NL-West,COL
2013,MLB,NL-West,LAN
2013,MLB,NL-West,SDN
2013,MLB,NL-West,SFN
2014,MLB,AL-Central,CHA
2014,MLB,AL-Central,CLE
2014,MLB,AL-Central,DET
2014,MLB,AL-Central,KCA
2014,MLB,AL-Central,MIN
2014,MLB,AL-East,BAL
2014,MLB,AL-East,BOS
2014,MLB,AL-East,NYA
2014,MLB,AL-East,TBA
2014,MLB,AL-East,TOR
2014,MLB,AL-West,ANA
2014,MLB,AL-West,HOU
2014,MLB,AL-West,OAK
2014,MLB,AL-West,SEA
2014,MLB,AL-West,TEX
2014,MLB,NL-Central,CHN
2014,MLB,NL-Central,CIN
2014,MLB,NL-Central,MIL
2014,MLB,NL-Central,PIT
2014,MLB,NL-Central,SLN
2014,MLB,NL-East,ATL
2014,MLB,NL-East,MIA
2014,MLB,NL-East,NYN
2014,MLB,NL-East,PHI
2014,MLB,NL-East,WAS
2014,MLB,NL-West,ARI
2014,MLB,NL-West,COL
2014,MLB,NL-West,LAN
2014,MLB,NL-West,SDN
2014,MLB,NL-West,SFN
2015,MLB,AL-Central,CHA
2015,MLB,AL-Central,CLE
2015,MLB,AL-Central,DET
2015,MLB,AL-Central,KCA
